DateTime,Epicenter,Lat,Long,Magnitude
2002-11-20 11:00:00,Bajura,29.61,81.56,4.4
2003-06-23 11:00:00,Taplejung,27.79,87.97,4.8
2003-07-28 11:00:00,Rukum,28.75,82.52,4.5
2003-08-02 11:00:00,Mugu,29.51,82.1,4.4
2003-08-05 11:00:00,Sidhupalchowk,27.99,86.03,4.2
2003-09-24 11:00:00,Dailekh,28.99,81.96,4.3
2003-09-29 11:00:00,Taplejung,27.52,87.86,4.6
2003-10-29 11:00:00,Khotang,27.26,86.69,4.0
2003-11-05 11:00:00,Dolakha,27.78,86.16,4.1
2003-11-22 11:00:00,Kaski,28.47,83.91,5.0
2003-11-23 11:00:00,Kaski,28.3,83.88,4.4
2003-11-23 11:00:00,Kaski,28.45,83.94,4.5
2003-11-23 11:00:00,Kaski,28.41,83.97,3.6
2003-12-05 11:00:00,Kaski,28.4,83.93,4.0
2003-12-11 11:00:00,Darchula,29.85,80.54,4.1
2003-12-19 11:00:00,Illam,27.06,87.97,4.2
2004-01-03 11:00:00,"Listikot, Sindhupalchok",27.76,86.07,4.5
2004-01-03 11:00:00,"Listikot, Sindhupalchok",27.87,86.06,5.5
2004-01-07 11:00:00,"Darkha, Dhading",28.07,85.0,4.0
2004-02-02 11:00:00,"Tolideval, Bajura",29.32,81.53,4.1
2004-02-14 11:00:00,"Brahmajali, Bhajhang",29.67,80.88,4.3
2004-02-18 11:00:00,"Amjilesa, Taplejung",27.61,87.8,4.7
2004-03-17 11:00:00,"Amjilesa, Taplejung",27.67,87.82,4.1
2004-03-31 11:00:00,"Isabun,Terathum",27.18,87.63,4.6
2004-05-29 11:00:00,"Niseldhar, Baglung",28.58,82.96,4.3
2004-05-29 11:00:00,"Niseldhar, Baglung",28.55,82.96,4.9
2004-05-29 11:00:00,"Niseldhar, Baglung",28.59,82.98,4.3
2004-07-16 11:00:00,"Ghalegaun, Kaski",28.32,84.06,4.6
2004-07-20 11:00:00,"Listikot, Sindhupalchok",27.96,85.88,4.5
2004-08-22 11:00:00,"Kaseri, Rasuwa",28.03,85.24,4.1
2004-09-02 11:00:00,"Listikot, Sindhupalchowk",27.87,85.93,4.2
2004-09-12 11:00:00,"Shirkot, Mugu",29.51,81.84,4.4
2004-10-05 11:00:00,"Simle, Udayapur",26.83,86.55,4.1
2004-11-09 11:00:00,RahalGaun/Rukum,28.77,82.95,4.4
2004-11-17 11:00:00,"Kharibot, Lamjung",28.26,84.67,4.1
2004-12-26 11:00:00,"Sain, Bajura",29.9,81.63,4.3
2004-12-27 11:00:00,"Nagpa, Dolakaha",27.76,86.2,4.2
2005-01-16 11:00:00,Bajhang,29.81,81.04,4.5
2005-01-16 11:00:00,Bajhang,29.68,81.14,5.0
2005-02-08 11:00:00,Dolakha,27.76,86.07,5.0
2005-03-05 11:00:00,Lamjung,28.27,84.39,5.0
2005-03-19 11:00:00,Lamjung,28.25,84.39,5.4
2005-03-29 11:00:00,Lamjung,28.15,84.37,4.0
2005-03-29 11:00:00,Gorkha,28.11,84.77,4.4
2005-03-29 11:00:00,Gorkha,28.14,84.8,4.1
2005-03-29 11:00:00,Gorkha,28.04,84.74,4.0
2005-04-04 11:00:00,Myagdi,28.54,83.31,4.1
2005-04-04 11:00:00,Myagdi,28.56,83.18,4.1
2005-04-07 11:00:00,Kalikot,29.35,81.88,4.2
2005-04-15 11:00:00,Sindhupalchowk,27.92,85.71,4.1
2005-05-05 11:00:00,Taplejung,27.69,87.7,4.1
2005-07-27 11:00:00,Solukhumbu,27.47,86.842,4.3
2005-08-08 11:00:00,Sindhupalchowk,27.98,85.51,4.2
2005-08-28 11:00:00,Sankhuwasava,27.31,87.22,5.3
2005-10-29 11:00:00,Mugu,29.5,81.88,5.1
2005-10-31 11:00:00,Mugu,29.64,82.06,5.1
2005-10-31 11:00:00,Gorkha,28.65,84.83,4.5
2005-11-06 11:00:00,Mugu,29.61,82.02,5.1
2006-02-03 11:00:00,Khotang,27.18,86.8,5.4
2006-02-19 11:00:00,Baglung,28.24,83.89,4.7
2006-04-04 11:00:00,Sindhupalchowk,27.91,85.83,4.6
2006-05-05 11:00:00,Bajhang,29.43,81.26,4.8
2006-08-15 11:00:00,Sindhupalchowk,27.89,85.7,4.3
2006-08-30 11:00:00,Mustang,29.05,83.6,4.3
2006-09-17 11:00:00,Illam,26.98,87.8,4.2
2006-09-19 11:00:00,Bajura,29.62,81.54,5.0
2006-09-26 11:00:00,Darchula,30.1,80.83,4.5
2006-11-11 11:00:00,Tehrathum,27.21,87.63,4.2
2007-02-05 11:00:00,Darchula,30.1,81.05,4.2
2007-02-06 11:00:00,Myagdi,28.35,83.43,4.1
2007-02-06 11:00:00,Myagdi,28.36,83.43,4.2
2007-02-15 11:00:00,Bajhang,29.83,81.45,5.0
2007-03-10 11:00:00,Bajhang,29.47,81.73,4.5
2007-05-16 11:00:00,Nepal-India Border,27.5,88.08,4.6
2007-06-04 11:00:00,Nepal-India Border,27.44,83.89,4.2
2007-06-17 11:00:00,Dhading,27.83,84.91,4.3
2007-07-07 11:00:00,Rasuwa,28.08,85.3,4.0
2007-07-30 11:00:00,Bhojpur,27.27,87.02,4.1
2007-08-01 11:00:00,Mugu,29.49,81.91,4.6
2007-08-03 11:00:00,Panchthar,27.21,87.97,4.4
2007-08-03 11:00:00,Bhojpur,27.24,87.02,4.0
2007-08-03 11:00:00,Bhojpur,27.2,87.04,4.3
2007-08-03 11:00:00,Bhojpur,27.24,87.03,4.5
2007-08-06 11:00:00,Sindhupalchowk,27.84,85.69,4.1
2007-08-11 11:00:00,Taplejung,27.28,87.9,5.2
2007-09-07 11:00:00,Dolakha,27.72,86.26,4.1
2007-09-07 11:00:00,Rasuwa,28.05,85.33,4.2
2007-10-12 11:00:00,Dolakha,27.75,86.12,4.0
2007-10-29 11:00:00,Nuwakot,27.9,85.45,5.0
2007-11-05 11:00:00,Lamjung,28.2,84.45,4.5
2007-12-01 11:00:00,Rasuwa,28.05,85.28,4.1
2008-01-15 11:00:00,Okhaldhunga,27.37,86.53,4.1
